restriction_type,times_of_operation,maximum_stay,tariff,cashless_identifier,nearest_machine,road_name,postcode,controlled_parking_zone,valid_parking_permits,parking_bay_length_metres,disclaimer,easting,northing,longitude,latitude,unique_identifier,spatial_accuracy,last_uploaded,location,organisation_uri,:@computed_region_hxwp_gyfc,:@computed_region_6i9a_26nj,parking_spaces,epsg_27700_well_known_text_geometry,epsg_4326_well_known_text_geometry
disabled (dedicated),at any time,N/A,N/A,N/A,N/A,Burrard Road,NW6 1DD,CA-P,CA-P,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.19451,51.554909,46127195,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.554909', 'longitude': '-0.19451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},5,36,1,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Kingsgate Place,NW6 4JH,CA-Q,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525125,184054,-0.197091,51.541526,46043423,Defined By Custodian,2019-11-29T23:01:59.000,"{'latitude': '51.541526', 'longitude': '-0.197091', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},13,90,1,"LINESTRING (525128.5643615362 184054.70414420974,525127.4347881654 184056.00377219508,525122.759838521 184052.19486248415,525123.9223921363 184050.88523736043)","LINESTRING (-0.19704004424310304 51.54153093441595,-0.1970558621172958 51.541542864528736,-0.1971245925972321 51.541509668675744,-0.19710830294783596 51.541497641422346)"
disabled (blue badge),N/A,N/A,N/A,N/A,N/A,York Way,N1C 4AY,CA-N,N/A,13,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.122718,51.536634,46126633,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.536634', 'longitude': '-0.122718', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},16,112,3,,
disabled (blue badge),mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Portpool Lane,EC1N 7SE,CA-D,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",531096,181908,-0.111837,51.520887,46042570,Defined By Custodian,2019-11-29T23:01:57.000,"{'latitude': '51.520887', 'longitude': '-0.111837', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},11,73,1,"LINESTRING (531100.470362124 181907.6887209817,531099.8684726637 181909.5681829913,531093.9237836098 181907.8086866419,531094.5751434368 181905.82925324878)","LINESTRING (-0.1117732175840341 51.52088218890081,-0.11178118896183564 51.52089921873279,-0.11186747712609649 51.52088478478659,-0.11185883026668408 51.52086684507128)"
disabled (dedicated),at any time,N/A,N/A,N/A,N/A,Gloucester Crescent,NW1 7DS,CA-F,N/A,7,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.145513,51.53812,46126941,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.53812', 'longitude': '-0.145513', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},3,22,1,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Chenies Street,WC1E 7EA,CA-E,N/A,1021,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.132836,51.520537,46129424,Defined By Custodian,2019-11-29T23:02:14.000,"{'latitude': '51.520537', 'longitude': '-0.132836', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},2,9,1,,
disabled (dedicated),at any time,N/A,N/A,N/A,N/A,Kingsgate Place,NW6 4TB,CA-Q,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.195365,51.540606,46127154,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.540606', 'longitude': '-0.195365', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},13,90,1,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Greenwood Place,NW5 1LB,CA-M,N/A,1034,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.143529,51.552836,46128548,Defined By Custodian,2019-11-29T23:02:14.000,"{'latitude': '51.552836', 'longitude': '-0.143529', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},12,87,1,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Bloomsbury Square,WC1B 4JB,CA-C,N/A,24,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.122152,51.519206,46128346,Defined By Custodian,2019-11-29T23:02:14.000,"{'latitude': '51.519206', 'longitude': '-0.122152', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},11,73,4,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Bracknell Gardens,NW3 7EE,CA-S,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525703,185481,-0.188251,51.554222,46034955,Defined By Custodian,2019-11-29T23:01:52.000,"{'latitude': '51.554222', 'longitude': '-0.188251', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},6,37,1,"LINESTRING (525705.1662195195 185478.0267223598,525706.1968521571 185479.54628738883,525701.1756099465 185483.48515989832,525700.1697124921 185481.99558628432)","LINESTRING (-0.1882217173929783 51.55419445978826,-0.18820631708906993 51.55420788673136,-0.18827729896092854 51.554244403635785,-0.18829233196155482 51.554231240710386)"
